Study Name,PI Name,HEAL Research Program,Core CDE Measures,Domain,Questionnaire
Optimizing the use of ketamine to reduce chronic postsurgical pain,Jing Wang,ERN- Pain Management Effectiveness Research Network,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Harvard PRECISION Human Pain Center,William Renthal,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Cancer Pain Management: A Technology-Based Intervention for Asian American Breast Cancer Survivors,Eun-Ok Im,Health Equity in Pain Management,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Development Evaluation and Translation of Robotic Apparel for Alleviating Low Back Pain,Conor Walsh,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Total-body PET for assessing myofascial pain,Abhijit Chaudhari,MPS- Myofascial Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Wearable nanocomposite sensor system for diagnosing mechanical sources of low back pain and guiding rehabilitation,Anton Bowden,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Integrative Training Program for Pediatric Sickle Cell Pain,Soumitri Sil,Health Equity in Pain Management,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Development and identification of magnetic resonance electrophysiological and fiber-optic imaging biomarkers of myofascial pain,Song Hu,MPS- Myofascial Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Technology Research Site for Advanced Faster Quantitative Imaging for BACPAC,Sharmila Majumdar,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Focused Ultrasound Neuromodulation of Dorsal Root Ganglion for Noninvasive Mitigation of Low Back Pain,Lubdha  Shah,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
COMEBACK,Jeffrey Lotz,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Neural architecture of the murine and human temporomandibular joint,Christopher Donnelly,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Mapping the joint-nerve interactome of the knee,Anne-Marie Malfait,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Imaging Epigenetic Dysregulation in Patients with Low Back Pain,Hsiao-Ying Wey,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Development and Validation of a Noninvasive Multimodal Ultrasound-Based Imaging Biomarker for Myofascial Pain,Ajay Wasan,MPS- Myofascial Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Proof of Concept Study to Treat Negative Affect in Chronic Low Back Pain,Ajay Wasan,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
SMART Stepped Care Management for Low Back Pain in Military Health System,Julie Fritz,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Randomized-controlled trial of virtual reality for chronic lower back pain to improve patient-reported outcomes and physical activity,Brennan Spiegel,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Pain Care At Home to Amplify Function (Pain CHAMP),William  Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Intergrated Care for Chronic Pain and Opioid Use Disorder: The IMPOWR Research Center at Montefiore/Einstein (IMPOWR-ME),Joanna  Starrels,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
SurgeryPal,Jennifer Rabbitts,ERN- Pain Management Effectiveness Research Network,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Non-pharmacological Options in postoperative Hospital-based And Rehabilitation pain Management (NOHARM) pragmatic clinical trial,Andrea Cheville,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Group-Based Mindfulness for Patients with Chronic Low Back Pain in the Primary Care,Natalia Morone,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Randomized Clinical Trial Intervention to Treat Chronic Pain Among Persons Maintained on Methadone for Opioid Use Disorder,Kelly  Dunn,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Mentoring in Discovery and Validation of Clinical Chronic Pain Biomarkers,Sean Mackey,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Integrating Tailored Postoperative Opioid Tapering and Pain Management Support for Patients on Long-Term Opioid Use Presenting for Spine Surgery (MIRHIQL),Jennifer Hah,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Pain management in advanced kidney disease,Jessica Ma,K12 - National K12 Clinical Pain Career Development,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Optimizing Patient-Centered Opioid Tapering with Mindfulness-Oriented Recovery Enhancement,Eric Garland,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Advancing Rural Back Pain Outcomes with Rehabilitation Telehealth (ARBOR-Telehealth),Richard Skolasky,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Predictive biosignature for endoscopic therapy for chronic pancreatitis pain,Lisa  Doan,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Developing Radiocaine NaV imaging as a response monitoring biomarker for chronic pain,Braxton Norwood,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Mechanisms of Action of Peripheral Nerve Stimulation for the Treatment of Chronic Neuropathic Pain,Jennifer Hah,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Reaching Rural Veterans: Applying Mind-Body Skills for Pain Using a Whole Health Telehealth Intervention (RAMP),Diana Burgess,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
STREAM,Bridget Mueller,K12 - National K12 Clinical Pain Career Development,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Sensory Phenotyping to Enhance Neuropathic Pain Drug Development,Roy Freeman,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Daniel Rotroff,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Georgene Hergenroeder,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Quantifying and Treating Myofascial Dysfunction in Post Stroke Shoulder Pain,Preeti  Raghavan,MPS- Myofascial Pain,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
MRI-based quantitative characterization of impaired myofascial interface properties in myofascial pain syndrome,Ziying Yin,MPS- Myofascial Pain,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Multimodal imaging biomarkers for investigating fascia muscle and vasculature in myofascial pain,Siddhartha Sikdar,MPS- Myofascial Pain,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Culturally adapted mobile treatment of chronic pain in adolescent survivors of pediatric bone sarcoma,Tara Brinkman,Health Equity in Pain Management,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Healing Opioid Misuse and Pain Through Engagement (HOPE) Trial,Katie Witkiewitz,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Equity Using Interventions for Pain and Depression (EQUIPD),Marianne Matthias,Health Equity in Pain Management,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
A Randomized Clinical Trial to Evaluate Non-Pharmacologic and Pharmacologic Approaches for Reducing Pain and Opioid Use Among Patients Treated with Maintenance Hemodialysis,Laura Bernardo,HOPE,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Implementation and Effectiveness of Mindfulness Oriented Recovery Enhancement as an Adjunct to Methadone Treatment for Opioid Use Disorder,Nina Cooperman,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Integrating Nonpharmacologic Strategies for Pain with Inclusion Respect and Equity (INSPIRE): Tailored digital tools telehealth coaching and primary care coordination,Jason Satterfield,Health Equity in Pain Management,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
A sequenced-strategy for improving outcomes in patients with knee osteoarthritis pain,Claudia Campbell,ERN- Pain Management Effectiveness Research Network,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Wake Forest NCORP Research Base,Glenn Lesser,ERN- Pain Management Effectiveness Research Network,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Integrated Treatment for Veterans with Co-Occurring Chronic Pain and Opioid Use Disorder,Katie Witkiewitz,ERN- Pain Management Effectiveness Research Network,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Addressing the chronic pain epidemic among older adults in underserved community center; The GetActive+ study,Ana-Maria Vranceanu,Health Equity in Pain Management,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Understanding the Mechanistic Neurophysiological and Antinociceptive Effects of Transcutaneous Auricular Neurostimulation for Treatment of Chronic Pain,Denise Wilkes,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Comprehensive functional phenotyping of trigeminal neurons innervating temporomandibular joint (TMJ) tissues in male female and aged mice primates and humans with and without TMJ disorders (TMJD),Armen Akopian,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Stepped Care for Patients to Optimize Whole Recovery (SC-POWR),William Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Pain Response Evaluation of a Combined Intervention to Cope Effectively (PRECICE),Dennis Chua  Ang,ERN- Pain Management Effectiveness Research Network,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Transition from Acute to Chronic Pain After Thoracic Surgery,Chad  Brummett,A2CPS- Acute to Chronic Pain Signatures Program,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Fibromyalgia TENS in Physical Therapy Study (TIPS):an embedded pragmatic clinical trial,Kathleen  Sluka,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Hybrid Effectiveness-Implementation Trial of Guided Relaxation and Acupuncture for Chronic Sickle Cell Disease Pain,Adrith  Doorenbos,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Pragmatic Trial of Acupuncture for Chronic Low Back Pain in Older Adults,Lynn Debar,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
RESOLVE- Tailored Non-Pharmacotherapy Services for Chronic Pain: Testing Scalable and Pragmatic Approaches,Lynn Debar,ERN- Pain Management Effectiveness Research Network,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Discovery and Analytical Validation of Inflammatory Bio-Signatures of the Human Pain Experience,Alan Prossin,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
"Achieving Equity through SocioCulturally-informed Digitally-Enabled Cancer Pain managemeNT"" (ASCENT) Clinical Trial",Andrea Cheville,Health Equity in Pain Management,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Optimizing Patient-Centered Opioid Tapering with Mindfulness-Oriented Recovery Enhancement,Eric Garland,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Sequential Trial of Adding Buprenorphine Cognitive Behavioral Treatment and Transcranial Magnetic Stimulation to Improve Outcomes of Long-Term Opioid Therapy for Chronic Pain (ACTION),Kelly Barth,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
Identifying multimodal biomarkers for autologous serum tears in the treatment of chronic postoperative ocular pain,Rony Sayegh,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
The Penn Human Precision Pain Center (HPPC): Discovery and Functional Evaluation of Human Primary Somatosensory Neuron Types at Normal and Chronic Pain Conditions,WENQIN LUO,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Generalized Anxiety Disorder- 7 (GAD-7),Anxiety,GAD
